Black Body Radiation Experiment Wed, Sep 23, 2020 2:47 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.09718
0.00000	-0.09477
0.00000	-0.09396
0.00000	-0.09606
0.00000	-0.09380
0.00000	-0.09686
0.00000	-0.09509
0.00000	-0.09267
0.00000	-0.09718
0.00000	-0.09316
0.00000	-0.09622
0.00000	-0.09428
0.00000	-0.09106
0.00000	-0.09235
0.00000	-0.09412
0.00000	-0.09767
0.00000	-0.09912
0.00000	-0.09525
0.00000	-0.09606
0.00000	-0.09751
0.00000	-0.09332
0.00000	-0.09525
0.00000	-0.09573
0.00000	-0.09799
0.00000	-0.09734
0.00000	-0.09751
0.00000	-0.09606
0.00000	-0.09203
0.00000	-0.09444
0.00000	-0.09299
0.00000	-0.09396
0.00000	-0.09444
0.00000	-0.09799
0.00000	-0.09364
0.00000	-0.09589
0.00000	-0.09541
0.00000	-0.09718
0.00000	-0.09316
0.00000	-0.09606
0.00000	-0.09751
0.00000	-0.09879
0.00000	-0.09573
0.00000	-0.09654
0.00000	-0.09767
0.00000	-0.09412
0.00000	-0.09267
0.00000	-0.09622
0.00000	-0.09509
0.00000	-0.09557
0.00000	-0.09316
0.00000	-0.09380
0.00000	-0.09557
0.00000	-0.09219
0.00000	-0.09589
0.00000	-0.09380
0.00000	-0.09396
0.00000	-0.09734
0.00000	-0.09444
0.00000	-0.09702
0.00000	-0.09428
0.00000	-0.09461
0.00000	-0.09316
0.00000	-0.09912
0.00000	-0.09686
0.00000	-0.09638
0.00000	-0.09670
0.00000	-0.09267
0.00000	-0.09380
0.00000	-0.09396
0.00000	-0.09348
0.00000	-0.09541
0.00000	-0.09654
0.00000	-0.09606
0.00000	-0.09428
0.00000	-0.09380
0.00000	-0.09283
0.00000	-0.09461
0.00000	-0.09428
0.00000	-0.09815
0.00000	-0.09654
0.00000	-0.09477
0.00000	-0.09122
0.00000	-0.08977
0.00000	-0.08832
0.00000	-0.09541
0.00000	-0.09267
0.00000	-0.09267
0.00000	-0.08945
0.00000	-0.09444
0.00000	-0.09541
0.00000	-0.09283
0.00000	-0.09509
0.00000	-0.09654
0.00000	-0.09573
0.00000	-0.09670
0.00000	-0.09428
0.00000	-0.09267
0.00000	-0.09799
0.00000	-0.09332
0.00000	-0.09493
0.00000	-0.09203
0.00000	-0.09283
0.00000	-0.09734
0.00000	-0.09589
0.00000	-0.09412
0.00000	-0.09332
0.00000	-0.08961
0.00000	-0.09364
0.00000	-0.09364
0.00000	-0.09461
0.00000	-0.09767
0.00000	-0.09541
0.00000	-0.09573
0.00000	-0.09767
0.00000	-0.09477
0.00000	-0.09299
0.00000	-0.09299
0.00000	-0.09493
0.00000	-0.10008
0.00000	-0.09557
0.00000	-0.09461
0.00000	-0.09541
0.00000	-0.09090
0.00000	-0.09638
0.00000	-0.09686
0.00000	-0.09235
0.00000	-0.09380
0.00000	-0.09138
0.00000	-0.09251
0.00000	-0.08864
0.00000	-0.09863
0.00000	-0.09299
0.00000	-0.09380
0.00000	-0.09783
0.00000	-0.09509
0.00000	-0.09026
0.00000	-0.09477
0.00000	-0.09058
0.00000	-0.09751
0.00000	-0.09106
0.00000	-0.09702
0.00000	-0.09638
0.00000	-0.09573
0.00000	-0.09638
0.00000	-0.09606
0.00000	-0.09203
0.00000	-0.09557
0.00000	-0.09622
0.00000	-0.09171
0.00000	-0.09638
0.00000	-0.09187
0.00000	-0.09541
0.00000	-0.09187
0.00000	-0.09976
0.00000	-0.09767
0.00000	-0.09171
0.00000	-0.09203
0.01035	-0.09461
0.01035	-0.09815
0.02070	-0.09316
0.02070	-0.09106
0.03104	-0.09477
0.03104	-0.09428
0.03104	-0.09525
0.03104	-0.09573
0.03104	-0.09171
0.03104	-0.09509
0.03104	-0.09026
0.03104	-0.09348
0.03104	-0.09332
0.03104	-0.09364
0.03104	-0.09396
0.03104	-0.09477
0.03104	-0.09477
0.03104	-0.08736
0.03104	-0.09251
0.03104	-0.09299
0.03104	-0.09461
0.03104	-0.09380
0.03104	-0.09638
0.03104	-0.09461
0.03104	-0.09477
0.03104	-0.09509
0.03104	-0.09751
0.03104	-0.09316
0.03104	-0.09364
0.03104	-0.09428
0.03104	-0.09171
0.03104	-0.09638
0.03104	-0.09573
0.02070	-0.09589
0.02070	-0.09638
0.02070	-0.09380
0.02070	-0.09606
0.02070	-0.09541
0.02070	-0.09332
0.02070	-0.09412
0.02070	-0.09831
0.02070	-0.09380
0.02070	-0.09380
0.02070	-0.09316
0.02070	-0.09589
0.02070	-0.09509
0.02070	-0.09461
0.02070	-0.09154
0.03104	-0.09734
0.04139	-0.09718
0.05174	-0.09751
0.07244	-0.09912
0.10348	-0.09444
0.13453	-0.09364
0.17592	-0.09573
0.22766	-0.09251
0.28975	-0.09299
0.35184	-0.09718
0.41393	-0.09267
0.47602	-0.09606
0.53811	-0.09171
0.58985	-0.09251
0.63124	-0.09461
0.68298	-0.09203
0.73472	-0.09444
0.78646	-0.09573
0.83820	-0.09171
0.86925	-0.09171
0.91064	-0.09299
0.93134	-0.09219
0.98308	-0.09509
1.02447	-0.09444
1.08656	-0.09767
1.13830	-0.09895
1.20039	-0.09944
1.26248	-0.09557
1.32457	-0.09686
1.38666	-0.09847
1.45910	-0.09138
1.54188	-0.09461
1.60397	-0.09606
1.68676	-0.09299
1.74885	-0.09622
1.82128	-0.09283
1.89372	-0.09461
1.92476	-0.09219
1.98685	-0.09718
2.03859	-0.09332
2.09034	-0.09428
2.14208	-0.09444
2.18347	-0.09751
2.22486	-0.09622
2.26625	-0.09702
2.31800	-0.09509
2.35939	-0.09203
2.42148	-0.09138
2.47322	-0.09283
2.52496	-0.09734
2.59740	-0.09364
2.65949	-0.09654
2.72158	-0.09992
2.78366	-0.09702
2.83541	-0.09138
2.88715	-0.09541
2.93889	-0.09332
2.99063	-0.09670
3.04237	-0.09203
3.10446	-0.09428
3.14585	-0.09267
3.18724	-0.09686
3.23899	-0.09251
3.29073	-0.09718
3.35282	-0.09428
3.41490	-0.09380
3.46665	-0.10153
3.51839	-0.09428
3.60117	-0.09509
3.66326	-0.09509
3.72535	-0.09299
3.76674	-0.09203
3.80814	-0.09718
3.87023	-0.09912
3.93231	-0.09493
3.99440	-0.09734
4.04614	-0.09461
4.10823	-0.09767
4.17032	-0.09364
4.23241	-0.09638
4.28415	-0.09348
4.35659	-0.09654
4.42903	-0.08800
4.50147	-0.09203
4.58425	-0.10073
4.66704	-0.09557
4.73947	-0.09380
4.81191	-0.09573
4.89470	-0.09509
4.95679	-0.09783
5.02922	-0.09702
5.09131	-0.09461
5.16375	-0.09428
5.22584	-0.09573
5.28793	-0.09751
5.35002	-0.09654
5.40176	-0.09332
5.46385	-0.09718
5.53628	-0.09734
5.59837	-0.09396
5.65012	-0.09702
5.71220	-0.09074
5.77429	-0.09912
5.82603	-0.09799
5.88812	-0.09509
5.93986	-0.09187
5.98126	-0.09509
6.03300	-0.09895
6.08474	-0.09863
6.12613	-0.09686
6.17787	-0.09589
6.22961	-0.09557
