Black Body Radiation Experiment Wed, Sep 23, 2020 2:38 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.03951
0.00000	-0.03371
0.00000	-0.03806
0.00000	-0.03677
0.00000	-0.03307
0.00000	-0.03822
0.00000	-0.03291
-0.01035	-0.04128
-0.01035	-0.03919
-0.01035	-0.03500
-0.01035	-0.03725
-0.01035	-0.03548
-0.01035	-0.03452
-0.01035	-0.03452
-0.01035	-0.03742
-0.01035	-0.03291
-0.01035	-0.03419
-0.01035	-0.03516
-0.01035	-0.03452
-0.01035	-0.03903
-0.01035	-0.03645
-0.01035	-0.03403
-0.01035	-0.03452
-0.01035	-0.03468
-0.01035	-0.04112
-0.01035	-0.03564
-0.01035	-0.03403
-0.01035	-0.04015
-0.01035	-0.03387
-0.01035	-0.03548
-0.01035	-0.03452
-0.01035	-0.03709
-0.01035	-0.03758
-0.01035	-0.03339
-0.01035	-0.03742
-0.01035	-0.03758
-0.01035	-0.03226
-0.01035	-0.03758
-0.01035	-0.03742
-0.01035	-0.03355
-0.01035	-0.03854
-0.01035	-0.03387
-0.01035	-0.03661
-0.01035	-0.03468
-0.01035	-0.03645
-0.01035	-0.03580
-0.01035	-0.03564
-0.01035	-0.03468
-0.01035	-0.03677
-0.01035	-0.03677
-0.01035	-0.03403
-0.01035	-0.03323
-0.01035	-0.03162
-0.01035	-0.03613
-0.01035	-0.03387
-0.01035	-0.03452
-0.01035	-0.03258
-0.01035	-0.03597
-0.01035	-0.03468
-0.01035	-0.03806
-0.01035	-0.03339
-0.01035	-0.03742
-0.01035	-0.03742
0.00000	-0.03758
0.00000	-0.03613
0.00000	-0.03403
0.00000	-0.03436
0.00000	-0.03436
0.00000	-0.03758
0.00000	-0.03613
0.00000	-0.03709
0.00000	-0.03742
0.00000	-0.03146
0.00000	-0.03194
0.00000	-0.03548
0.00000	-0.03564
0.00000	-0.03419
0.00000	-0.02936
0.00000	-0.03532
0.01035	-0.03500
0.01035	-0.03129
0.01035	-0.03645
0.01035	-0.03355
0.01035	-0.03661
0.01035	-0.03371
0.02070	-0.03693
0.07244	-0.03580
0.13453	-0.03323
0.18627	-0.03210
0.23801	-0.03709
0.28975	-0.03242
0.32079	-0.03693
0.37254	-0.03129
0.40358	-0.03629
0.42428	-0.03725
0.44497	-0.03146
0.46567	-0.03484
0.49671	-0.03355
0.52776	-0.03387
0.55880	-0.03452
0.60020	-0.03887
0.62089	-0.03226
0.65194	-0.03516
0.69333	-0.03790
0.71403	-0.03613
0.74507	-0.03709
0.76577	-0.02936
0.79681	-0.03870
0.82786	-0.03629
0.85890	-0.03178
0.88994	-0.03564
0.93134	-0.03500
0.97273	-0.03645
1.00378	-0.03210
1.04517	-0.03548
1.08656	-0.03355
1.11761	-0.03806
1.14865	-0.03597
1.17969	-0.03532
1.19004	-0.03532
1.21074	-0.03790
1.22109	-0.03258
1.24178	-0.03516
1.26248	-0.03613
1.27283	-0.03065
1.29352	-0.03242
1.31422	-0.03355
1.33492	-0.03548
1.35561	-0.03822
1.37631	-0.03355
1.39701	-0.03323
1.41770	-0.03323
1.44875	-0.03935
1.46944	-0.03371
1.50049	-0.03210
1.53153	-0.03500
1.55223	-0.03242
1.60397	-0.03323
1.64536	-0.03436
1.68676	-0.02856
1.73850	-0.03548
1.80059	-0.03645
1.84198	-0.03436
1.88337	-0.03226
1.92476	-0.03194
1.96616	-0.03419
2.00755	-0.03419
2.04894	-0.03274
2.09034	-0.03323
2.14208	-0.03500
2.19382	-0.03725
2.22486	-0.03355
2.25591	-0.03903
2.28695	-0.03146
2.31800	-0.03162
2.35939	-0.03258
2.40078	-0.03452
2.44217	-0.03468
2.48357	-0.03822
2.52496	-0.03645
2.55600	-0.03242
2.59740	-0.03677
2.63879	-0.03677
2.66983	-0.03887
2.70088	-0.03339
2.74227	-0.03436
2.78366	-0.03629
2.83541	-0.03613
2.88715	-0.03419
2.95958	-0.03258
3.02167	-0.03178
3.08376	-0.03162
3.14585	-0.03339
3.20794	-0.03548
3.27003	-0.03323
3.33212	-0.03452
3.37351	-0.03258
3.41490	-0.03178
3.46665	-0.03452
3.49769	-0.03677
3.51839	-0.03403
3.53908	-0.03709
3.57013	-0.03355
3.59082	-0.03613
3.63222	-0.03403
3.67361	-0.03725
3.71500	-0.03613
3.75640	-0.03806
3.79779	-0.03758
3.83918	-0.03790
3.88057	-0.03645
3.93231	-0.03242
3.97371	-0.03484
4.01510	-0.03854
4.04614	-0.03532
4.07719	-0.03291
4.10823	-0.03790
4.13928	-0.03742
4.17032	-0.03419
4.21172	-0.03419
4.24276	-0.03452
4.26346	-0.03162
