Black Body Radiation Experiment Wed, Sep 23, 2020 2:52 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.00938
0.00000	-0.00794
0.00000	-0.00922
0.00000	-0.01003
0.00000	-0.01148
0.00000	-0.01116
0.00000	-0.00874
0.00000	-0.01180
0.00000	-0.00971
0.00000	-0.01196
0.00000	-0.01180
0.00000	-0.00810
0.00000	-0.01518
0.00000	-0.01390
0.00000	-0.00874
0.00000	-0.00938
0.00000	-0.01422
0.00000	-0.00955
0.00000	-0.01293
0.00000	-0.00922
0.00000	-0.01212
0.00000	-0.01051
0.00000	-0.01051
0.00000	-0.01583
0.00000	-0.01373
0.00000	-0.01438
0.00000	-0.01551
0.00000	-0.01631
0.00000	-0.01535
0.00000	-0.00971
0.00000	-0.01293
0.00000	-0.01261
0.00000	-0.01116
0.00000	-0.01663
0.00000	-0.01051
0.00000	-0.01196
0.00000	-0.01390
0.00000	-0.01422
0.00000	-0.00938
0.00000	-0.01535
0.00000	-0.01003
0.00000	-0.00987
0.00000	-0.00971
0.00000	-0.01277
0.00000	-0.01051
0.00000	-0.00777
0.00000	-0.01164
0.00000	-0.01502
0.00000	-0.01164
0.00000	-0.01067
0.00000	-0.01567
0.00000	-0.01277
0.00000	-0.01245
0.00000	-0.01228
0.00000	-0.01454
0.00000	-0.01454
0.00000	-0.01100
0.00000	-0.01583
0.00000	-0.01615
0.00000	-0.01535
0.00000	-0.01100
0.00000	-0.01132
0.00000	-0.01422
0.00000	-0.00810
0.00000	-0.01212
0.00000	-0.01502
0.00000	-0.01309
0.00000	-0.01003
0.00000	-0.01067
0.00000	-0.01003
0.00000	-0.01100
0.00000	-0.01180
0.00000	-0.01438
0.00000	-0.01567
0.00000	-0.01196
0.00000	-0.01196
0.00000	-0.01599
0.00000	-0.01180
0.00000	-0.01132
0.00000	-0.01180
0.00000	-0.01180
0.00000	-0.01599
0.00000	-0.01196
0.00000	-0.01325
0.00000	-0.01277
0.00000	-0.01132
0.00000	-0.01261
0.00000	-0.01067
0.00000	-0.01309
0.00000	-0.01132
0.00000	-0.00987
0.00000	-0.01293
0.00000	-0.01019
0.00000	-0.01228
0.00000	-0.00777
0.00000	-0.01502
0.00000	-0.01293
0.00000	-0.01551
0.00000	-0.01373
0.00000	-0.01502
0.00000	-0.01196
0.00000	-0.01599
0.00000	-0.01116
0.00000	-0.01583
0.00000	-0.01470
0.00000	-0.00842
0.00000	-0.01100
0.00000	-0.01180
0.00000	-0.01083
0.00000	-0.00890
0.00000	-0.01067
0.00000	-0.01212
0.00000	-0.00729
0.00000	-0.01180
0.00000	-0.01357
0.00000	-0.01325
0.00000	-0.01261
0.00000	-0.01164
0.00000	-0.01406
0.00000	-0.01132
0.00000	-0.01309
0.00000	-0.00649
0.00000	-0.01277
0.00000	-0.01325
0.00000	-0.01100
0.00000	-0.01470
0.00000	-0.00922
0.00000	-0.01357
0.00000	-0.01083
0.00000	-0.01293
0.00000	-0.00890
0.00000	-0.01261
0.00000	-0.01164
0.00000	-0.01309
0.00000	-0.01390
0.00000	-0.01277
0.00000	-0.01535
0.00000	-0.01212
0.00000	-0.01470
0.00000	-0.01438
0.00000	-0.01325
0.00000	-0.01406
0.00000	-0.01277
0.00000	-0.01663
0.00000	-0.01373
0.00000	-0.01438
0.00000	-0.01051
0.00000	-0.00971
0.00000	-0.01051
0.00000	-0.01035
0.00000	-0.01148
0.00000	-0.01261
0.00000	-0.01325
0.00000	-0.01051
0.00000	-0.01019
0.00000	-0.01228
0.00000	-0.00616
0.00000	-0.01003
0.00000	-0.00874
0.01035	-0.01180
0.01035	-0.01003
0.01035	-0.01438
0.01035	-0.01325
0.00000	-0.01035
0.00000	-0.01180
0.00000	-0.01438
0.00000	-0.01083
-0.01035	-0.01341
-0.01035	-0.01245
-0.01035	-0.01116
-0.01035	-0.01116
-0.01035	-0.01116
-0.02070	-0.01357
-0.02070	-0.01438
-0.02070	-0.01518
-0.02070	-0.01518
-0.02070	-0.00874
-0.02070	-0.01502
-0.02070	-0.01422
-0.02070	-0.01454
-0.02070	-0.01245
-0.02070	-0.00906
-0.02070	-0.00665
-0.02070	-0.01003
-0.02070	-0.01406
-0.02070	-0.01116
-0.03104	-0.01261
-0.03104	-0.01019
-0.03104	-0.01470
-0.03104	-0.01406
-0.03104	-0.01357
-0.03104	-0.01728
-0.03104	-0.01341
-0.03104	-0.01132
-0.04139	-0.01341
-0.04139	-0.01228
-0.04139	-0.00906
-0.04139	-0.01341
-0.04139	-0.01502
-0.04139	-0.01148
-0.04139	-0.01051
-0.04139	-0.01148
-0.04139	-0.01164
-0.04139	-0.01454
-0.04139	-0.01406
-0.04139	-0.01615
-0.04139	-0.01180
-0.04139	-0.01406
-0.04139	-0.01212
-0.04139	-0.01390
-0.04139	-0.01228
-0.04139	-0.01212
-0.04139	-0.01132
-0.04139	-0.01277
-0.04139	-0.01535
-0.04139	-0.01502
-0.04139	-0.01309
-0.04139	-0.01180
-0.04139	-0.01744
-0.04139	-0.01486
-0.04139	-0.01261
-0.05174	-0.01261
-0.05174	-0.01390
-0.05174	-0.01357
-0.05174	-0.01083
-0.05174	-0.01083
-0.05174	-0.01341
-0.05174	-0.01486
-0.05174	-0.01293
-0.05174	-0.01132
-0.05174	-0.01309
-0.05174	-0.01535
-0.05174	-0.01583
-0.05174	-0.01261
-0.05174	-0.01712
-0.06209	-0.01567
-0.06209	-0.01776
-0.06209	-0.01454
-0.06209	-0.01438
-0.06209	-0.01615
-0.06209	-0.01325
-0.06209	-0.01615
-0.06209	-0.01696
-0.06209	-0.01325
-0.06209	-0.01390
-0.06209	-0.01212
-0.06209	-0.01164
-0.05174	-0.01277
-0.05174	-0.01825
-0.05174	-0.01438
-0.05174	-0.01245
-0.05174	-0.01245
-0.05174	-0.01776
-0.05174	-0.01277
-0.05174	-0.01535
-0.05174	-0.01390
-0.05174	-0.01148
-0.05174	-0.01003
-0.05174	-0.01518
-0.05174	-0.01454
-0.05174	-0.01583
-0.05174	-0.01599
-0.04139	-0.01454
-0.04139	-0.01744
-0.04139	-0.00858
-0.04139	-0.01518
-0.04139	-0.01325
-0.04139	-0.01390
-0.04139	-0.01245
-0.03104	-0.00794
-0.03104	-0.01567
-0.02070	-0.01148
-0.02070	-0.01470
-0.01035	-0.01309
0.00000	-0.01744
0.01035	-0.01583
0.02070	-0.01422
0.03104	-0.02179
0.04139	-0.01518
0.07244	-0.01422
0.09313	-0.01357
0.12418	-0.01502
0.16557	-0.01293
0.19662	-0.01406
0.22766	-0.01583
0.26905	-0.01373
0.30010	-0.01712
0.34149	-0.01164
0.38288	-0.01261
0.41393	-0.01309
0.44497	-0.01583
0.48637	-0.01422
0.52776	-0.01228
0.56915	-0.01567
0.60020	-0.01615
0.63124	-0.01502
0.65194	-0.01390
0.68298	-0.01567
0.71403	-0.01696
0.74507	-0.01776
0.76577	-0.01245
0.79681	-0.01196
0.83820	-0.01502
0.87960	-0.01663
0.92099	-0.01567
0.95203	-0.01792
0.99343	-0.01486
1.03482	-0.01438
1.06586	-0.01341
1.09691	-0.01680
1.12795	-0.01100
1.16935	-0.01196
1.21074	-0.01535
1.24178	-0.01341
1.29352	-0.01647
1.32457	-0.01438
1.37631	-0.01325
1.41770	-0.01438
1.46944	-0.01406
1.52118	-0.01889
1.57293	-0.01567
1.61432	-0.01535
1.65571	-0.01615
1.69710	-0.01776
1.72815	-0.01712
1.75919	-0.01261
1.80059	-0.01422
1.83163	-0.01663
1.86268	-0.01357
1.89372	-0.01986
1.91442	-0.01808
1.94546	-0.01035
1.97651	-0.01470
2.00755	-0.01438
2.04894	-0.01035
2.07999	-0.01583
2.12138	-0.01615
2.16277	-0.01180
2.19382	-0.01647
2.23521	-0.01454
2.27660	-0.01857
2.32834	-0.01470
2.35939	-0.01309
2.40078	-0.01309
2.44217	-0.01518
2.47322	-0.01100
2.50426	-0.01486
2.52496	-0.01116
2.54566	-0.01760
2.55600	-0.01470
2.57670	-0.01663
2.59740	-0.01438
2.60775	-0.01728
2.61809	-0.01454
2.62844	-0.01373
2.64914	-0.01567
2.65949	-0.01277
2.66983	-0.01196
2.69053	-0.01615
2.71123	-0.01535
2.74227	-0.01100
2.78366	-0.01551
2.82506	-0.01535
2.87680	-0.01132
2.91819	-0.01341
2.96993	-0.01502
3.02167	-0.01422
3.07341	-0.01631
3.12516	-0.01196
3.17690	-0.01325
3.22864	-0.01454
3.28038	-0.01744
3.33212	-0.01857
3.36316	-0.01454
3.39421	-0.01373
3.43560	-0.01341
3.46665	-0.00987
3.49769	-0.01164
3.53908	-0.01728
3.58048	-0.01535
3.61152	-0.01599
3.65291	-0.01454
3.68396	-0.01599
3.70465	-0.01212
3.72535	-0.01712
3.74605	-0.01245
3.77709	-0.01373
3.80814	-0.01599
3.83918	-0.01422
3.87023	-0.01293
3.91162	-0.00987
3.95301	-0.01100
3.99440	-0.01792
4.03580	-0.01470
4.08754	-0.01438
4.12893	-0.01792
4.15997	-0.01535
4.18067	-0.01373
4.20137	-0.01615
4.21172	-0.01406
4.23241	-0.01261
4.24276	-0.01454
4.26346	-0.01663
4.27380	-0.01583
4.28415	-0.01680
4.30485	-0.01422
4.32555	-0.01325
4.35659	-0.01293
4.38764	-0.01406
4.41868	-0.01067
4.44972	-0.01293
4.48077	-0.00842
4.52216	-0.00938
4.54286	-0.01293
4.56355	-0.01406
4.57390	-0.01486
4.59460	-0.01245
4.60495	-0.01148
4.62564	-0.01180
4.63599	-0.01583
4.64634	-0.01518
4.66704	-0.01406
4.67738	-0.01277
4.68773	-0.01277
4.69808	-0.01148
4.71878	-0.01148
4.73947	-0.01245
4.74982	-0.01470
4.79121	-0.01100
4.82226	-0.01357
4.85330	-0.01132
4.88435	-0.01470
4.92574	-0.01341
4.95679	-0.01293
4.98783	-0.01535
5.01888	-0.01245
5.04992	-0.01599
5.07062	-0.01615
5.10166	-0.01341
5.13271	-0.01518
5.15340	-0.01261
5.18445	-0.01293
5.21549	-0.01100
5.23619	-0.01518
5.25688	-0.00938
5.27758	-0.01406
5.29828	-0.01341
5.31897	-0.01535
5.32932	-0.01116
5.33967	-0.01019
5.36037	-0.01373
5.37071	-0.01502
5.38106	-0.01647
5.39141	-0.00987
5.40176	-0.01245
5.40176	-0.01228
5.41211	-0.01486
5.42245	-0.01341
5.43280	-0.01390
5.44315	-0.01325
5.46385	-0.01373
5.49489	-0.01164
5.53628	-0.01293
5.57768	-0.01212
5.60872	-0.01277
5.62942	-0.01083
5.66046	-0.01599
5.69151	-0.01019
5.73290	-0.01180
5.77429	-0.01180
5.80534	-0.00842
5.83638	-0.01663
5.87778	-0.01309
5.90882	-0.01341
5.92952	-0.01438
5.96056	-0.01470
5.99161	-0.01277
6.02265	-0.00955
6.04335	-0.01180
6.07439	-0.01196
6.10544	-0.01228
6.13648	-0.01325
6.16752	-0.01051
6.19857	-0.01647
6.23996	-0.01245
6.27101	-0.01116
6.30205	-0.01051
6.34344	-0.01341
6.38484	-0.01518
6.42623	-0.01406
6.46762	-0.01486
6.48832	-0.01132
6.52971	-0.00665
6.55041	-0.01212
6.59180	-0.00971
6.61250	-0.01196
6.63319	-0.01196
6.65389	-0.00842
6.66424	-0.00890
6.68493	-0.00971
6.70563	-0.00987
6.71598	-0.00987
6.73668	-0.00938
6.75737	-0.00971
6.76772	-0.01486
6.78842	-0.01245
6.79876	-0.01245
6.80911	-0.00890
6.81946	-0.01051
6.84016	-0.01116
6.86085	-0.01293
6.87120	-0.01067
6.89190	-0.01245
6.92294	-0.01083
6.94364	-0.01502
6.96434	-0.00874
6.99538	-0.01470
7.02643	-0.01567
7.05747	-0.01228
7.07817	-0.01502
7.10921	-0.01132
7.14026	-0.01277
7.16095	-0.01228
7.19200	-0.01148
7.22304	-0.01132
7.24374	-0.01293
7.27478	-0.01373
7.29548	-0.01325
7.31617	-0.01132
7.34722	-0.01373
7.36792	-0.01051
7.37826	-0.01277
7.39896	-0.01132
7.40931	-0.00874
7.41966	-0.01067
7.43000	-0.01164
7.44035	-0.00826
7.46105	-0.01180
7.47140	-0.00794
7.48175	-0.00874
7.50244	-0.01083
7.52314	-0.01035
7.54383	-0.00938
7.56453	-0.01083
7.59558	-0.01003
7.62662	-0.01502
7.65767	-0.00858
7.69906	-0.01390
7.73010	-0.00777
7.77150	-0.01051
7.81289	-0.01051
7.84393	-0.01228
7.86463	-0.01132
7.89567	-0.01083
7.92672	-0.01212
7.94741	-0.01486
7.97846	-0.01357
7.99916	-0.01100
8.01985	-0.01341
8.03020	-0.01325
8.05090	-0.01132
8.06124	-0.01325
8.07159	-0.00842
8.09229	-0.01261
8.10264	-0.01228
8.12333	-0.01373
8.14403	-0.01245
8.16473	-0.01454
8.18542	-0.01196
8.20612	-0.01357
8.22682	-0.00794
8.25786	-0.01309
8.27856	-0.01051
8.30960	-0.00842
8.33030	-0.01148
8.36134	-0.00955
8.38204	-0.01003
8.41308	-0.01019
8.43378	-0.01438
8.46482	-0.00922
8.49587	-0.01003
8.52691	-0.00922
8.55796	-0.00632
8.58900	-0.00826
8.63040	-0.01180
8.66144	-0.01341
8.70283	-0.01164
8.73388	-0.01180
8.76492	-0.01470
8.79597	-0.01293
8.82701	-0.00729
8.85806	-0.01083
8.87875	-0.00971
8.89945	-0.01454
8.93049	-0.01212
8.95119	-0.01100
8.97189	-0.00858
8.98223	-0.00761
9.01328	-0.01309
9.03398	-0.01293
9.04432	-0.01100
9.07537	-0.01083
9.09606	-0.01551
9.12711	-0.01132
9.14781	-0.01277
9.16850	-0.01373
9.19955	-0.01196
9.23059	-0.01212
9.26164	-0.01164
9.29268	-0.01116
9.32372	-0.01486
9.34442	-0.01325
9.37547	-0.01180
9.38581	-0.01019
9.39616	-0.01373
9.40651	-0.01422
9.41686	-0.01551
9.41686	-0.01083
9.42721	-0.01019
9.42721	-0.00987
9.43755	-0.01277
9.44790	-0.00600
9.45825	-0.01180
9.45825	-0.01277
9.46860	-0.01228
9.48930	-0.01293
9.50999	-0.01293
9.53069	-0.01132
9.55139	-0.01325
9.58243	-0.01261
9.60313	-0.01261
9.62382	-0.01019
9.64452	-0.00794
9.66522	-0.01051
9.67556	-0.01325
9.69626	-0.00842
9.72730	-0.00842
9.74800	-0.00922
9.76870	-0.01228
9.79974	-0.00794
9.83079	-0.01373
9.85148	-0.01116
9.87218	-0.01325
9.89288	-0.01373
9.90322	-0.00971
9.92392	-0.00890
9.95496	-0.01390
9.97566	-0.01438
9.99636	-0.01100
10.01705	-0.01083
10.03775	-0.00906
10.05845	-0.01164
10.07914	-0.00955
10.09984	-0.01599
10.13088	-0.00938
10.16193	-0.01502
10.19297	-0.01132
10.23437	-0.01325
10.28611	-0.01035
10.32750	-0.01164
10.35854	-0.01631
10.38959	-0.01180
10.41029	-0.01196
10.44133	-0.01454
10.45168	-0.01132
10.48272	-0.00955
10.49307	-0.01341
10.50342	-0.01454
10.51377	-0.01325
10.51377	-0.00890
10.51377	-0.00971
10.51377	-0.01212
10.51377	-0.01035
10.51377	-0.01051
10.51377	-0.00938
10.51377	-0.01019
10.51377	-0.01116
10.52412	-0.00987
10.52412	-0.01035
10.54481	-0.01293
10.54481	-0.01325
10.55516	-0.01067
10.55516	-0.01003
10.59655	-0.01325
10.60690	-0.00681
10.66899	-0.01245
10.71038	-0.01470
10.74143	-0.00794
10.78282	-0.00955
10.82421	-0.01373
10.87595	-0.01180
10.96909	-0.01245
11.07257	-0.01212
11.17605	-0.01245
11.28988	-0.01164
11.38302	-0.00842
11.46580	-0.01406
11.57963	-0.01357
11.66242	-0.00987
11.75555	-0.01325
11.84868	-0.01164
11.91077	-0.01083
11.96251	-0.00938
12.00391	-0.00906
12.04530	-0.01051
12.08669	-0.01132
12.11774	-0.00938
12.14878	-0.01051
12.15913	-0.00987
12.17983	-0.00681
12.20052	-0.00987
12.21087	-0.01083
12.23157	-0.00874
12.25226	-0.01196
12.28331	-0.00810
12.32470	-0.01261
12.36609	-0.00777
12.41784	-0.00890
12.46958	-0.00938
12.51097	-0.00649
12.55236	-0.00745
12.59375	-0.00794
12.63515	-0.00745
12.66619	-0.00922
12.68689	-0.00745
12.71793	-0.01019
12.74898	-0.00326
12.76967	-0.01019
12.80072	-0.00842
12.81107	-0.00729
12.82141	-0.00842
12.84211	-0.00858
12.86281	-0.00616
12.88350	-0.00197
12.91455	-0.00230
12.96629	-0.00826
13.00768	-0.00584
13.03873	-0.00391
13.08012	-0.00471
13.11116	-0.00665
13.15256	-0.00117
13.18360	-0.00004
13.21465	-0.00181
13.26639	-0.00262
13.30778	-0.00069
13.33882	-0.00246
13.36987	-0.00278
13.40091	0.00270
13.43196	0.00044
13.48370	0.00882
13.50440	0.00383
13.54579	0.00479
13.57683	0.00737
13.60788	0.00962
13.63892	0.00930
13.68032	0.00898
13.71136	0.01027
13.74240	0.01156
13.77345	0.01945
13.80449	0.01752
13.82519	0.01462
13.85623	0.01832
13.88728	0.01897
13.91832	0.02203
13.95972	0.02042
14.01146	0.02493
14.04250	0.02219
14.09424	0.02654
14.13564	0.02928
14.18738	0.03314
14.23912	0.03363
14.28051	0.03427
14.31156	0.04152
14.34260	0.04265
14.36330	0.04571
14.38399	0.05167
14.40469	0.05328
14.43573	0.04909
14.46678	0.05715
14.48747	0.05683
14.52887	0.05683
14.54956	0.06198
14.57026	0.06456
14.61165	0.06520
14.64270	0.06101
14.67374	0.06617
14.71513	0.06875
14.74618	0.07342
14.77722	0.07374
14.82897	0.07680
14.87036	0.07906
14.92210	0.08437
14.96349	0.08099
15.01523	0.08888
15.05663	0.08921
15.10837	0.09420
15.14976	0.09484
15.19115	0.09662
15.23254	0.09823
15.28429	0.10048
