Black Body Radiation Experiment Wed, Sep 23, 2020 2:57 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.09461
0.00000	-0.09187
0.00000	-0.09541
0.00000	-0.09573
0.00000	-0.09992
0.00000	-0.09461
0.00000	-0.09509
0.00000	-0.09751
0.00000	-0.09541
0.00000	-0.09283
0.00000	-0.09493
0.00000	-0.09960
0.00000	-0.09219
0.00000	-0.09171
0.00000	-0.09348
0.00000	-0.09525
0.00000	-0.09654
0.00000	-0.09799
0.00000	-0.09461
0.00000	-0.09670
0.00000	-0.09219
0.00000	-0.09187
0.00000	-0.09380
0.00000	-0.09638
0.00000	-0.09477
0.00000	-0.09364
0.00000	-0.09863
0.01035	-0.09267
0.02070	-0.09428
0.03104	-0.08945
0.03104	-0.09316
0.04139	-0.09364
0.05174	-0.09187
0.06209	-0.09203
0.07244	-0.09154
0.08279	-0.09396
0.09313	-0.09364
0.10348	-0.09589
0.12418	-0.09799
0.13453	-0.09912
0.15522	-0.09428
0.17592	-0.09573
0.20696	-0.09767
0.22766	-0.09461
0.24836	-0.09815
0.28975	-0.09380
0.32079	-0.09799
0.35184	-0.09734
0.38288	-0.09831
0.40358	-0.09525
0.42428	-0.09589
0.44497	-0.09573
0.46567	-0.09461
0.48637	-0.09525
0.51741	-0.09638
0.55880	-0.09541
0.60020	-0.09702
0.65194	-0.09154
0.71403	-0.09461
0.76577	-0.09187
0.82786	-0.09493
0.88994	-0.09187
0.94169	-0.09686
0.99343	-0.09638
1.02447	-0.09541
1.06586	-0.09734
1.09691	-0.09831
1.13830	-0.09332
1.19004	-0.09670
1.22109	-0.09928
1.25213	-0.09751
1.29352	-0.09831
1.33492	-0.09863
1.36596	-0.09557
1.39701	-0.09606
1.43840	-0.09412
1.47979	-0.09573
1.52118	-0.09863
1.55223	-0.09299
1.59362	-0.09783
1.63501	-0.09557
1.67641	-0.09461
1.71780	-0.09138
1.75919	-0.09525
1.81093	-0.09412
1.85233	-0.09396
1.90407	-0.09009
1.94546	-0.09541
1.98685	-0.09251
2.02825	-0.09847
2.05929	-0.09348
2.09034	-0.09638
2.12138	-0.09283
2.15242	-0.09316
2.18347	-0.08881
2.22486	-0.09444
2.29730	-0.09461
2.34904	-0.09557
2.40078	-0.09654
2.45252	-0.09348
2.49392	-0.09154
2.53531	-0.09316
2.55600	-0.09026
2.58705	-0.09171
2.61809	-0.09074
2.63879	-0.09396
2.65949	-0.09477
2.69053	-0.09348
2.73192	-0.09734
2.76297	-0.09606
2.79401	-0.09767
2.82506	-0.09316
2.86645	-0.09074
2.91819	-0.09461
2.96993	-0.09283
3.02167	-0.09219
3.07341	-0.09348
3.12516	-0.09348
3.17690	-0.09187
3.21829	-0.09380
3.27003	-0.09187
3.32177	-0.09396
3.38386	-0.09525
3.43560	-0.09122
3.47699	-0.10057
3.52873	-0.09767
3.58048	-0.09187
3.63222	-0.10008
3.67361	-0.09396
3.71500	-0.08832
3.77709	-0.09428
3.87023	-0.09622
3.93231	-0.09203
4.00475	-0.09348
4.07719	-0.09686
4.17032	-0.09348
4.26346	-0.09461
4.35659	-0.09267
4.42903	-0.09654
4.50147	-0.09444
4.56355	-0.09493
4.62564	-0.09477
4.69808	-0.09573
4.76017	-0.09042
4.81191	-0.09074
4.86365	-0.09638
4.91539	-0.09364
4.95679	-0.09638
4.99818	-0.09428
5.04992	-0.09525
5.08096	-0.09251
5.12236	-0.09589
5.16375	-0.09122
5.19479	-0.09412
5.23619	-0.09219
5.28793	-0.09251
5.33967	-0.09267
5.38106	-0.09235
5.42245	-0.09122
5.47420	-0.09541
5.52594	-0.09138
5.56733	-0.09332
5.59837	-0.09444
5.63977	-0.09573
5.67081	-0.09364
5.70186	-0.09251
5.73290	-0.09557
5.75360	-0.09444
5.78464	-0.09251
5.81569	-0.09557
5.84673	-0.09348
5.86743	-0.09348
5.90882	-0.09122
5.92952	-0.09606
5.95021	-0.09299
5.97091	-0.09171
6.00195	-0.09074
6.03300	-0.09654
6.07439	-0.09767
6.11578	-0.09573
6.14683	-0.09718
6.19857	-0.09589
6.23996	-0.09638
6.28136	-0.09428
6.33310	-0.09171
6.37449	-0.09428
6.42623	-0.09428
6.45727	-0.09396
6.49867	-0.09267
6.56076	-0.09654
6.61250	-0.09299
6.67459	-0.09235
6.73668	-0.09606
6.80911	-0.09332
6.87120	-0.09187
6.93329	-0.09493
6.99538	-0.09122
7.05747	-0.09316
7.10921	-0.09219
7.17130	-0.09815
7.23339	-0.09348
7.28513	-0.09702
7.33687	-0.09203
7.38861	-0.09589
7.44035	-0.09332
7.48175	-0.09428
7.52314	-0.09235
7.56453	-0.09203
7.59558	-0.09203
7.63697	-0.09219
7.67836	-0.09283
7.71975	-0.09412
7.78184	-0.09493
7.83358	-0.09428
7.89567	-0.09235
7.94741	-0.09299
7.99916	-0.09187
8.05090	-0.09122
8.11299	-0.09573
8.17507	-0.09154
8.22682	-0.08977
8.27856	-0.09332
8.34065	-0.09396
8.38204	-0.09187
8.41308	-0.08977
8.45448	-0.09557
8.49587	-0.09428
8.53726	-0.09267
8.58900	-0.09412
8.64074	-0.09541
8.68214	-0.09283
8.71318	-0.09251
8.74423	-0.09203
8.76492	-0.09606
8.79597	-0.09589
8.82701	-0.09412
8.85806	-0.09525
8.88910	-0.09622
8.92015	-0.09042
8.94084	-0.09541
8.96154	-0.09847
8.99258	-0.09154
9.01328	-0.09267
9.03398	-0.09541
9.06502	-0.09187
9.10641	-0.09380
9.13746	-0.09187
9.17885	-0.09267
9.20989	-0.09283
9.25129	-0.09477
9.28233	-0.09106
9.31338	-0.09171
9.33407	-0.09171
9.36512	-0.09235
9.38581	-0.09412
9.40651	-0.08816
9.43755	-0.09203
9.45825	-0.09138
9.47895	-0.09026
9.50999	-0.09154
9.54104	-0.09219
9.56173	-0.09461
9.60313	-0.09058
9.63417	-0.09171
9.67556	-0.08993
9.70661	-0.09042
9.73765	-0.09541
9.76870	-0.09138
9.79974	-0.09203
9.83079	-0.08961
9.87218	-0.09686
9.89288	-0.09364
9.92392	-0.09702
9.95496	-0.09348
9.98601	-0.09267
10.01705	-0.09396
10.04810	-0.09219
10.07914	-0.09219
10.12054	-0.09171
10.13088	-0.09171
10.17228	-0.09332
10.18262	-0.08832
10.21367	-0.09171
10.25506	-0.09316
10.28611	-0.09332
10.31715	-0.09042
10.35854	-0.09171
10.39994	-0.09332
10.42063	-0.08913
10.44133	-0.09283
10.47237	-0.09203
10.50342	-0.09026
10.53446	-0.09396
10.56551	-0.09138
10.59655	-0.08929
10.63795	-0.08848
10.66899	-0.09122
10.70003	-0.08913
10.72073	-0.09267
10.74143	-0.09541
10.76212	-0.08897
10.78282	-0.09332
10.80352	-0.08800
10.82421	-0.09171
10.84491	-0.09203
10.87595	-0.09364
10.90700	-0.09235
10.93804	-0.09138
10.97944	-0.09058
11.01048	-0.08864
11.04153	-0.09267
11.07257	-0.09009
11.10361	-0.09122
11.13466	-0.08832
11.16570	-0.09267
11.19675	-0.08881
11.22779	-0.09235
11.24849	-0.09332
11.26919	-0.08961
11.28988	-0.09316
11.30023	-0.09058
11.32093	-0.09316
11.34162	-0.09058
11.36232	-0.08929
11.39336	-0.09348
11.42441	-0.09299
11.46580	-0.09461
11.50719	-0.09219
11.55894	-0.09332
11.61068	-0.09026
11.66242	-0.09058
11.71416	-0.09138
11.76590	-0.09058
11.80729	-0.08623
11.84868	-0.08848
11.90043	-0.08929
11.94182	-0.09251
11.98321	-0.09122
12.01426	-0.09009
12.05565	-0.08993
12.08669	-0.09251
12.11774	-0.09122
12.13843	-0.09332
12.16948	-0.08864
12.20052	-0.09074
12.23157	-0.08800
12.26261	-0.09235
12.28331	-0.09267
12.30401	-0.09106
12.32470	-0.08832
12.34540	-0.08752
12.37644	-0.09138
12.41784	-0.08897
12.43853	-0.08671
12.47992	-0.09074
12.51097	-0.08864
12.54201	-0.08478
12.56271	-0.08542
12.59375	-0.09187
12.61445	-0.08993
12.63515	-0.08591
12.66619	-0.08575
12.69724	-0.08945
12.73863	-0.08494
12.76967	-0.08558
12.80072	-0.08752
12.83176	-0.08671
12.86281	-0.08317
12.89385	-0.08381
12.92490	-0.08413
12.94559	-0.08204
12.96629	-0.08945
12.99733	-0.08252
13.01803	-0.08542
13.03873	-0.08655
13.04908	-0.08413
13.04908	-0.08558
13.05942	-0.08397
13.06977	-0.08542
13.06977	-0.08333
13.08012	-0.08188
13.09047	-0.08397
13.11116	-0.08913
13.13186	-0.08494
13.14221	-0.08542
13.16291	-0.08107
13.18360	-0.08123
13.20430	-0.08413
13.22499	-0.07946
13.24569	-0.08123
13.27674	-0.08510
13.28708	-0.07930
13.30778	-0.08252
13.32848	-0.08317
13.35952	-0.08156
13.40091	-0.07463
13.44231	-0.08268
13.50440	-0.07930
