Black Body Radiation Experiment Wed, Sep 23, 2020 2:40 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.04837
0.00000	-0.05095
0.00000	-0.04644
0.00000	-0.04628
0.00000	-0.04660
0.00000	-0.04305
0.00000	-0.04499
0.00000	-0.04579
0.00000	-0.04740
0.00000	-0.04644
0.00000	-0.04869
0.00000	-0.04595
0.00000	-0.04628
0.00000	-0.04756
0.00000	-0.04918
0.00000	-0.04628
0.00000	-0.04595
0.00000	-0.04853
0.00000	-0.05095
0.00000	-0.04595
0.00000	-0.04499
0.00000	-0.04692
0.00000	-0.04531
0.00000	-0.04934
0.00000	-0.04676
0.00000	-0.04756
0.00000	-0.04628
0.00000	-0.04740
0.00000	-0.04853
0.01035	-0.04628
0.01035	-0.04724
0.02070	-0.04982
0.05174	-0.04789
0.08279	-0.04467
0.10348	-0.05030
0.13453	-0.04805
0.16557	-0.05030
0.20696	-0.04450
0.23801	-0.04950
0.26905	-0.04338
0.27940	-0.04499
0.27940	-0.04563
0.28975	-0.05063
0.28975	-0.04740
0.28975	-0.04740
0.28975	-0.04434
0.28975	-0.04901
0.28975	-0.04628
0.30010	-0.04869
0.30010	-0.05256
0.31045	-0.04708
0.32079	-0.04644
0.35184	-0.04789
0.38288	-0.04434
0.40358	-0.04950
0.43462	-0.04756
0.45532	-0.04853
0.47602	-0.04773
0.49671	-0.05030
0.49671	-0.05224
0.50706	-0.04789
0.50706	-0.04612
0.50706	-0.04418
0.51741	-0.05046
0.51741	-0.05063
0.51741	-0.05143
0.51741	-0.04853
0.52776	-0.04982
0.52776	-0.04740
0.53811	-0.04644
0.54845	-0.04740
0.57950	-0.04692
0.61054	-0.04740
0.64159	-0.04740
0.67263	-0.04660
0.70368	-0.04934
0.74507	-0.04644
0.78646	-0.04531
0.83820	-0.04434
0.86925	-0.04805
0.88994	-0.04982
0.92099	-0.04515
0.94169	-0.04934
0.96238	-0.04676
0.98308	-0.04612
0.99343	-0.04676
1.01412	-0.04708
1.03482	-0.04402
1.06586	-0.05240
1.10726	-0.04805
1.15900	-0.04821
1.19004	-0.04563
1.23144	-0.04901
1.26248	-0.04434
1.30387	-0.04966
1.33492	-0.04628
1.38666	-0.04740
1.43840	-0.04595
1.47979	-0.04950
1.52118	-0.04837
1.55223	-0.05063
1.57293	-0.04982
1.59362	-0.04241
1.61432	-0.04966
1.64536	-0.04692
1.66606	-0.04676
1.67641	-0.04386
1.69710	-0.04708
1.70745	-0.04756
1.72815	-0.04628
1.75919	-0.04950
1.79024	-0.04579
1.83163	-0.04998
1.87302	-0.04708
1.91442	-0.04789
1.94546	-0.05191
1.97651	-0.04918
1.99720	-0.04563
2.01790	-0.04998
2.03859	-0.05079
2.04894	-0.04805
2.07999	-0.05304
2.12138	-0.04773
2.17312	-0.04724
2.22486	-0.04708
2.28695	-0.05063
2.33869	-0.04901
2.39043	-0.05046
2.42148	-0.05095
2.46287	-0.04531
2.48357	-0.04547
2.50426	-0.04676
2.52496	-0.04676
2.54566	-0.04885
2.55600	-0.04950
2.58705	-0.04531
2.61809	-0.05143
2.64914	-0.04869
2.69053	-0.05014
2.72158	-0.04418
2.75262	-0.04950
2.79401	-0.04434
2.82506	-0.04467
2.85610	-0.05353
2.89749	-0.05336
2.94924	-0.05191
2.99063	-0.05079
3.03202	-0.04821
3.08376	-0.04805
3.13550	-0.05014
3.17690	-0.04660
3.22864	-0.04756
3.27003	-0.04467
3.31142	-0.04434
3.35282	-0.04901
3.39421	-0.04901
3.43560	-0.05256
3.46665	-0.04966
3.48734	-0.04934
3.49769	-0.04756
3.50804	-0.04628
3.50804	-0.05014
3.50804	-0.04628
3.50804	-0.04837
3.51839	-0.04531
3.52873	-0.04547
3.53908	-0.04885
3.54943	-0.04595
3.58048	-0.04724
3.61152	-0.04901
3.66326	-0.04869
3.70465	-0.04805
3.74605	-0.04789
3.77709	-0.04869
