Black Body Radiation Experiment Wed, Sep 23, 2020 2:32 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.00278
0.00000	-0.00085
0.00000	-0.00246
0.00000	-0.00214
0.00000	-0.00052
0.00000	-0.00197
0.00000	-0.00294
0.00000	-0.00342
0.00000	-0.00214
0.00000	-0.00020
0.00000	-0.00439
0.00000	-0.00117
0.00000	-0.00487
0.00000	-0.00085
0.00000	-0.00101
0.00000	0.00060
0.00000	-0.00165
0.00000	-0.00214
0.00000	-0.00520
0.00000	-0.00342
0.00000	-0.00294
0.00000	-0.00326
0.00000	-0.00262
0.00000	-0.00359
0.00000	0.00125
0.00000	0.00125
0.01035	-0.00020
0.01035	0.00044
0.01035	-0.00375
0.01035	-0.00165
0.01035	-0.00101
0.01035	-0.00391
0.01035	-0.00230
0.02070	-0.00101
0.04139	-0.00600
0.05174	-0.00504
0.07244	-0.00342
0.09313	-0.00375
0.13453	-0.00020
0.16557	-0.00858
0.19662	-0.00359
0.22766	-0.00375
0.23801	-0.00020
0.25870	-0.00230
0.26905	-0.00520
0.28975	-0.00149
0.32079	-0.00278
0.35184	-0.00616
0.40358	-0.00004
0.46567	-0.00520
0.52776	-0.00069
0.57950	0.00141
0.63124	-0.00165
0.69333	-0.00036
0.73472	0.00060
0.78646	-0.00294
0.82786	-0.00117
0.85890	-0.00407
0.88994	-0.00294
0.91064	-0.00069
0.94169	-0.00407
0.97273	-0.00310
1.01412	-0.00197
1.03482	-0.00294
1.05552	-0.00278
1.07621	-0.00214
1.09691	-0.00616
1.11761	-0.00214
1.13830	-0.00036
1.17969	-0.00375
1.21074	-0.00085
1.23144	-0.00181
1.24178	-0.00262
1.26248	-0.00552
1.28318	-0.00310
1.31422	-0.00745
1.34527	-0.00439
1.38666	-0.00584
1.41770	-0.00262
1.43840	-0.00181
1.45910	-0.00536
1.49014	-0.00536
1.52118	-0.00149
1.55223	-0.00632
1.58327	-0.00487
1.60397	-0.00052
1.62467	-0.00052
1.65571	-0.00310
1.67641	-0.00391
1.69710	-0.00326
1.71780	-0.00423
1.73850	-0.00165
1.75919	-0.00616
1.76954	-0.00568
1.77989	-0.00085
1.77989	0.00076
1.79024	-0.00133
1.80059	-0.00310
1.81093	-0.00246
1.82128	-0.00214
1.84198	-0.00665
1.85233	-0.00375
1.87302	-0.00101
1.90407	0.00270
1.92476	-0.00262
1.94546	-0.00342
1.96616	0.00189
1.98685	-0.00085
2.00755	-0.00165
2.03859	-0.00085
2.07999	0.00399
2.11103	-0.00036
2.16277	-0.00085
2.19382	-0.00278
2.23521	-0.00052
2.26625	-0.00665
2.30765	-0.00181
2.33869	-0.00342
2.36974	-0.00375
2.40078	-0.00262
2.41113	-0.00439
2.43183	-0.00439
2.45252	-0.00278
2.46287	-0.00874
2.47322	-0.00391
2.49392	-0.00020
2.51461	-0.00133
2.53531	0.00044
2.57670	-0.00214
2.60775	-0.00391
2.64914	-0.00149
2.68018	-0.00359
2.70088	-0.00117
2.72158	-0.00036
2.74227	-0.00423
2.76297	-0.00616
2.79401	-0.00052
2.82506	-0.00214
2.86645	-0.00117
2.89749	0.00012
2.92854	-0.00616
2.95958	0.00141
3.00098	-0.00294
3.03202	0.00238
3.07341	0.00189
3.11481	0.00076
3.15620	-0.00165
3.18724	-0.00294
3.20794	-0.00632
3.21829	-0.00552
3.23899	-0.00165
3.24933	-0.00101
3.27003	-0.00197
3.30107	-0.00246
3.32177	-0.00326
3.35282	-0.00294
3.39421	-0.00214
3.42525	0.00028
3.44595	0.00076
3.46665	-0.00117
3.49769	-0.00020
3.52873	-0.00230
3.57013	0.00221
3.60117	-0.00020
3.65291	-0.00214
3.69431	-0.00294
3.73570	-0.00423
3.78744	-0.00310
3.83918	-0.00342
3.89092	-0.00359
3.94266	-0.00117
3.99440	0.00012
4.04614	0.00254
4.08754	-0.00407
4.12893	-0.00214
4.17032	-0.00181
4.20137	0.00028
4.24276	-0.00197
4.28415	0.00012
4.32555	-0.00117
4.35659	-0.00197
4.38764	-0.00020
4.41868	-0.00552
4.43938	0.00093
4.46007	-0.00101
4.48077	0.00012
4.50147	-0.00455
4.51181	0.00044
4.52216	-0.00181
4.53251	-0.00149
4.54286	-0.00052
4.56355	-0.00085
4.59460	-0.00020
4.62564	0.00028
4.65669	-0.00230
4.67738	0.00157
4.68773	0.00157
4.69808	-0.00165
4.69808	0.00076
4.70843	-0.00149
4.70843	0.00286
4.70843	-0.00036
4.70843	-0.00181
4.70843	-0.00310
4.70843	0.00125
4.70843	-0.00294
4.71878	0.00093
4.71878	-0.00423
4.72913	-0.00504
4.73947	0.00044
4.76017	0.00157
4.81191	0.00044
4.87400	-0.00036
4.92574	-0.00020
4.94644	0.00318
4.96713	0.00028
4.98783	-0.00294
5.01888	0.00141
5.04992	-0.00133
5.09131	0.00076
5.12236	0.00109
5.15340	0.00366
5.18445	-0.00230
5.20514	0.00157
5.22584	0.00044
5.24654	-0.00101
5.27758	-0.00036
5.31897	-0.00020
5.33967	0.00350
5.38106	0.00173
5.41211	0.00093
5.43280	-0.00149
5.45350	0.00028
5.47420	0.00173
5.49489	0.00012
5.52594	-0.00504
5.55698	-0.00294
5.59837	-0.00117
5.62942	-0.00149
5.65012	-0.00278
5.68116	-0.00117
5.70186	0.00141
5.72255	0.00302
5.74325	-0.00375
5.76395	-0.00181
5.79499	-0.00391
5.82603	-0.00504
5.85708	0.00141
5.88812	-0.00149
5.91917	-0.00020
5.93986	-0.00294
5.97091	-0.00230
6.01230	0.00044
6.05369	0.00125
6.10544	0.00076
6.15718	-0.00262
6.19857	-0.00326
6.23996	-0.00004
6.28136	-0.00069
6.32275	-0.00004
6.36414	0.00076
6.39519	-0.00181
6.43658	-0.00052
6.46762	-0.00052
6.48832	0.00044
6.50902	-0.00036
6.54006	-0.00391
6.58145	0.00415
6.62285	-0.00117
6.68493	0.00270
6.72633	0.00109
6.75737	-0.00181
6.77807	-0.00101
6.79876	-0.00375
6.82981	0.00270
6.85051	0.00157
6.88155	-0.00197
6.91259	0.00044
6.94364	-0.00294
6.95399	-0.00052
6.97468	-0.00004
6.98503	-0.00342
7.00573	-0.00165
7.01608	0.00060
7.03677	-0.00326
7.04712	-0.00214
7.06782	0.00350
7.08851	-0.00181
7.11956	-0.00455
7.14026	-0.00069
7.18165	-0.00342
7.21269	0.00286
7.25409	0.00527
7.29548	0.00238
7.34722	0.00189
7.37826	-0.00504
7.40931	-0.00004
7.45070	0.00028
7.48175	-0.00262
7.52314	-0.00101
7.56453	-0.00004
7.61627	-0.00197
7.64732	0.00060
7.66801	0.00044
7.68871	-0.00294
7.71975	0.00076
7.75080	-0.00117
7.80254	-0.00036
7.85428	-0.00214
7.90602	0.00141
7.95776	-0.00230
7.99916	-0.00149
8.04055	-0.00149
8.08194	-0.00085
8.10264	0.00221
8.14403	-0.00342
8.18542	0.00012
8.21647	-0.00149
8.25786	-0.00036
8.28891	-0.00230
8.33030	0.00495
8.37169	-0.00117
8.40274	0.00221
8.43378	0.00495
8.46482	-0.00165
8.50622	0.00270
8.53726	0.00173
8.57865	0.00286
8.62005	0.00060
8.65109	0.00270
8.67179	-0.00197
8.70283	0.00383
8.72353	-0.00246
8.74423	0.00318
8.76492	0.00044
8.78562	-0.00036
8.80631	-0.00036
8.83736	0.00270
8.86840	0.00318
8.89945	-0.00197
8.94084	0.00060
8.98223	0.00350
9.02363	0.00157
9.06502	-0.00487
9.09606	-0.00004
9.11676	-0.00036
9.14781	0.00221
9.16850	0.00044
9.19955	-0.00487
9.24094	-0.00359
9.27198	-0.00004
9.30303	-0.00101
9.32372	-0.00020
9.33407	0.00125
9.34442	-0.00165
9.36512	-0.00133
9.39616	-0.00036
9.43755	-0.00004
9.48930	0.00060
9.53069	-0.00278
9.56173	0.00173
9.59278	0.00173
9.61347	-0.00133
9.63417	0.00238
9.66522	-0.00117
9.69626	-0.00471
9.71696	0.00350
9.74800	0.00270
9.77905	-0.00101
9.81009	-0.00278
9.84113	-0.00294
9.88253	0.00205
9.91357	0.00125
9.94462	-0.00342
9.96531	-0.00294
9.99636	-0.00085
10.02740	-0.00149
10.05845	0.00109
10.08949	-0.00036
10.11019	-0.00133
10.14123	-0.00004
10.15158	0.00125
10.18262	-0.00342
10.20332	0.00141
10.22402	-0.00101
10.24471	0.00076
10.26541	-0.00117
10.28611	0.00125
10.30680	0.00157
10.32750	-0.00230
10.35854	-0.00052
10.38959	0.00205
10.43098	0.00399
10.46203	-0.00117
10.48272	-0.00214
10.51377	-0.00149
10.55516	-0.00004
10.60690	0.00302
10.64829	-0.00149
10.67934	0.00141
10.71038	0.00125
10.73108	0.00544
10.75178	0.00270
10.78282	0.00415
10.81386	0.00109
10.84491	0.00415
10.87595	0.00479
10.89665	0.00399
10.92770	0.00286
10.94839	0.00109
10.97944	0.00173
11.01048	0.00173
11.04153	0.00141
11.06222	0.00189
11.08292	0.00286
11.11396	0.00286
11.13466	0.00109
11.15536	-0.00117
11.18640	0.00221
11.20710	0.00302
11.23814	0.00109
11.25884	0.00189
11.27953	0.00060
11.30023	0.00270
11.33127	0.00093
11.37267	0.00656
11.40371	0.00383
11.46580	0.00270
11.50719	0.00592
11.54859	0.00173
11.58998	0.00125
11.63137	0.00656
11.68311	0.00286
11.72451	0.00383
11.76590	0.00560
11.80729	0.00334
11.84868	0.00157
11.89008	0.00544
11.93147	0.00366
11.98321	0.00495
12.03495	0.00914
12.07634	0.00270
12.12809	0.00608
12.15913	0.00656
12.19018	0.00930
12.22122	0.00705
12.25226	0.00753
12.27296	0.00640
12.29366	0.01011
12.32470	0.00769
12.36609	0.00898
12.38679	0.01172
12.40749	0.00801
12.41784	0.01446
12.42818	0.01011
12.45923	0.00882
12.47992	0.01526
12.51097	0.01124
12.56271	0.01768
12.59375	0.01526
12.62480	0.01526
12.65584	0.01671
12.67654	0.01317
12.70758	0.01526
12.73863	0.01204
12.76967	0.01301
12.81107	0.01784
12.85246	0.01703
12.88350	0.01414
12.91455	0.01832
12.93525	0.02026
12.96629	0.02074
13.01803	0.02251
13.05942	0.02171
13.11116	0.02267
13.14221	0.01945
13.16291	0.02976
13.19395	0.02686
13.23534	0.02863
13.25604	0.02767
13.28708	0.03347
13.31813	0.03331
13.34917	0.03749
13.36987	0.03556
13.41126	0.03894
13.43196	0.03798
13.47335	0.04281
13.50440	0.03830
13.54579	0.04684
13.56649	0.04410
13.58718	0.05167
13.60788	0.05183
13.62857	0.05215
13.63892	0.05232
13.64927	0.05683
13.65962	0.05779
13.66997	0.06214
13.66997	0.06150
13.66997	0.05586
13.66997	0.06150
13.68032	0.06311
13.68032	0.06198
13.68032	0.06375
13.68032	0.06134
13.68032	0.06085
13.69066	0.06230
13.69066	0.06375
13.69066	0.06118
13.70101	0.06085
13.70101	0.06536
13.71136	0.06166
13.71136	0.06585
13.73206	0.06424
13.74240	0.06472
13.78380	0.06569
13.83554	0.06778
13.88728	0.06601
13.91832	0.07406
13.93902	0.07761
13.97006	0.07777
14.02181	0.07906
14.06320	0.08260
14.11494	0.09001
14.17703	0.09195
14.22877	0.09662
14.25981	0.09984
14.29086	0.10322
14.31156	0.11176
14.34260	0.11160
14.38399	0.11756
14.40469	0.12288
14.44608	0.12239
14.48747	0.13270
14.51852	0.13464
14.57026	0.13721
14.60130	0.14350
14.65305	0.14688
14.69444	0.14946
14.73583	0.16009
14.75653	0.16766
14.78757	0.16557
14.80827	0.16766
14.82897	0.16702
14.84966	0.17555
14.88071	0.17523
14.92210	0.17910
14.95314	0.18023
14.97384	0.18458
14.99454	0.18586
15.00488	0.18796
15.01523	0.18796
15.01523	0.18844
15.02558	0.18876
15.03593	0.18893
15.05663	0.19295
15.07732	0.19440
15.10837	0.19183
15.12906	0.19505
15.13941	0.19263
15.16011	0.19489
15.16011	0.19521
15.17046	0.19843
15.17046	0.19940
15.18080	0.19795
15.18080	0.19811
15.18080	0.19618
15.19115	0.19698
15.19115	0.19956
15.19115	0.19569
15.20150	0.20020
15.20150	0.19843
15.20150	0.19875
15.20150	0.19666
15.20150	0.19859
15.20150	0.20085
15.20150	0.20117
15.21185	0.19875
15.21185	0.19698
15.21185	0.19859
15.21185	0.20036
15.21185	0.20230
15.21185	0.19795
15.21185	0.19811
15.21185	0.20181
15.21185	0.20439
15.21185	0.20052
15.21185	0.19924
15.21185	0.20133
15.21185	0.19972
15.21185	0.19988
15.22220	0.20052
15.22220	0.20020
15.22220	0.20214
15.22220	0.20004
15.23254	0.19924
15.24289	0.20310
15.26359	0.20133
15.32568	0.20197
15.40846	0.20214
15.44986	0.19907
15.47055	0.19408
15.48090	0.19618
15.50160	0.19424
15.52229	0.19183
15.54299	0.19585
15.57404	0.18860
15.59473	0.19328
15.61543	0.19005
15.63612	0.19279
15.64647	0.18860
15.66717	0.18876
15.68787	0.18748
15.71891	0.18474
15.76030	0.17765
15.81204	0.18248
15.86378	0.17491
15.90518	0.17507
15.93622	0.17265
15.96727	0.16669
16.00866	0.16621
16.05005	0.16492
16.10179	0.15526
16.14319	0.15735
16.17423	0.15220
16.19493	0.14881
16.22597	0.14334
16.24667	0.14237
16.26736	0.13689
16.29841	0.13190
16.32945	0.12868
16.36050	0.12610
16.39154	0.12207
16.42259	0.12239
16.45363	0.11885
16.48468	0.11176
16.51572	0.11079
16.53642	0.10757
16.55711	0.10322
16.57781	0.10371
16.59851	0.10097
16.61920	0.09887
16.65025	0.09646
16.69164	0.09372
16.73303	0.09098
16.77443	0.08582
16.80547	0.08679
16.82617	0.08115
16.84686	0.07857
16.87791	0.07535
16.89860	0.06939
16.92965	0.06891
16.96069	0.06730
16.99174	0.06520
17.02278	0.06295
17.05383	0.05924
17.08487	0.05844
17.10557	0.05554
17.13661	0.05151
17.16766	0.04990
17.19870	0.04716
17.22975	0.04635
17.25044	0.03959
17.27114	0.03733
17.29184	0.04152
17.33323	0.04039
17.38497	0.03427
17.42636	0.03572
17.46776	0.03379
17.49880	0.03234
17.52984	0.02815
17.56089	0.02461
17.59193	0.02863
17.62298	0.02283
17.65402	0.02461
17.68507	0.02445
17.71611	0.02122
17.74716	0.01881
17.77820	0.01800
17.80925	0.01752
17.82994	0.01285
17.86099	0.01397
17.89203	0.00979
17.93342	0.01494
17.96447	0.01220
18.00586	0.01107
18.02656	0.00527
18.05760	0.00769
18.08865	0.01059
18.13004	0.00817
18.18178	0.00946
18.22317	0.00560
18.25422	0.00850
18.29561	0.00560
18.32666	0.00254
18.36805	0.00302
18.43014	0.00173
18.48188	0.00415
18.52327	0.00093
18.56466	0.00238
18.60606	0.00479
18.64745	0.00527
18.68884	0.00238
18.73023	0.00431
18.75093	-0.00052
18.78198	-0.00020
18.80267	0.00576
18.83372	0.00302
18.86476	0.00399
18.89581	-0.00020
18.93720	0.00560
18.96824	0.00254
18.98894	0.00238
19.00964	0.00495
19.01998	0.00527
19.04068	0.00221
19.08207	0.00157
