Black Body Radiation Experiment Wed, Sep 23, 2020 1:07 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.00060
0.00000	-0.00036
0.00000	-0.00214
0.00000	-0.00052
0.00000	-0.00165
0.00000	0.00334
0.00000	-0.00165
0.00000	-0.00036
0.00000	0.00076
0.00000	0.00189
0.00000	0.00141
0.00000	-0.00020
0.00000	-0.00165
0.00000	0.00012
0.00000	0.00173
0.00000	-0.00294
0.00000	0.00093
0.00000	0.00189
0.00000	-0.00036
0.00000	-0.00036
0.00000	-0.00085
0.00000	0.00093
0.00000	-0.00036
0.00000	-0.00133
0.00000	-0.00181
0.00000	-0.00278
0.00000	-0.00181
0.00000	-0.00230
0.00000	0.00012
0.00000	-0.00101
0.00000	0.00366
0.01035	0.00093
0.01035	-0.00004
0.01035	-0.00101
0.01035	0.00205
0.01035	-0.00520
0.01035	0.00221
0.01035	-0.00101
0.01035	0.00093
0.02070	-0.00391
0.02070	0.00415
0.03104	0.00109
0.03104	-0.00069
0.04139	-0.00085
0.05174	-0.00149
0.07244	-0.00616
0.08279	-0.00230
0.11383	-0.00036
0.14487	-0.00197
0.17592	-0.00165
0.21731	-0.00069
0.24836	-0.00262
0.28975	-0.00294
0.32079	0.00141
0.34149	-0.00149
0.36219	-0.00036
0.39323	0.00093
0.41393	0.00076
0.43462	-0.00326
0.47602	0.00173
0.50706	-0.00036
0.52776	0.00028
0.54845	-0.00165
0.56915	-0.00246
0.58985	-0.00085
0.61054	-0.00181
0.63124	-0.00568
0.64159	-0.00133
0.66228	-0.00214
0.68298	-0.00117
0.71403	0.00093
0.74507	-0.00052
0.77611	0.00012
0.81751	0.00383
0.85890	-0.00036
0.88994	0.00238
0.93134	0.00286
0.96238	-0.00326
0.99343	-0.00278
1.03482	-0.00117
1.06586	-0.00020
1.09691	0.00093
1.14865	-0.00181
1.17969	0.00028
1.22109	0.00205
1.27283	0.00109
1.30387	0.00399
1.34527	0.00350
1.37631	0.00302
1.41770	0.00044
1.44875	-0.00149
1.49014	0.00366
1.53153	-0.00407
1.56258	0.00060
1.60397	-0.00004
1.64536	-0.00326
1.68676	-0.00294
1.71780	0.00511
1.75919	0.00302
1.81093	0.00157
1.85233	0.00205
1.89372	-0.00117
1.92476	0.00366
1.97651	0.00076
2.01790	0.00093
2.05929	0.00125
2.10068	0.00302
2.14208	-0.00020
2.17312	0.00383
2.20417	0.00012
2.23521	0.00238
2.27660	-0.00020
2.30765	0.00366
2.34904	0.00060
2.40078	0.00366
2.45252	-0.00085
2.49392	0.00125
2.53531	-0.00246
2.57670	-0.00117
2.61809	0.00157
2.65949	0.00189
2.70088	0.00366
2.74227	0.00286
2.77332	0.00254
2.81471	0.00302
2.86645	0.00125
2.90784	0.00012
2.95958	0.00141
3.00098	0.00028
3.04237	0.00238
3.08376	0.00028
3.13550	0.00302
3.16655	-0.00036
3.21829	0.00238
3.25968	0.00141
3.31142	0.00592
3.36316	0.00221
3.42525	0.00125
3.46665	0.00173
3.50804	-0.00085
3.53908	0.00238
3.59082	0.00157
3.63222	0.00254
3.67361	0.00060
3.73570	0.00254
3.78744	0.00318
3.83918	0.00495
3.89092	0.00254
3.95301	0.00093
4.00475	-0.00036
4.05649	0.00286
4.09789	0.00560
4.14963	0.00431
4.20137	0.00270
4.25311	0.00157
4.30485	0.00318
4.35659	0.00270
4.40833	0.00189
4.44972	0.00608
4.49112	0.00157
4.55321	0.00076
4.61530	0.00560
4.66704	-0.00052
4.71878	0.00383
4.76017	0.00189
4.80156	0.00157
4.84296	0.00431
4.88435	-0.00197
4.92574	0.00544
4.97748	0.00093
5.01888	-0.00085
5.06027	0.00656
5.10166	0.00076
5.14305	0.00882
5.18445	0.00350
5.23619	0.00125
5.27758	0.00479
