Black Body Radiation Experiment Wed, Sep 23, 2020 11:45 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.03113
0.00000	-0.03242
0.00000	-0.03065
0.00000	-0.03033
0.00000	-0.03291
0.00000	-0.03049
0.00000	-0.02984
0.00000	-0.03081
0.00000	-0.03129
0.00000	-0.03242
0.00000	-0.02984
0.00000	-0.03484
0.00000	-0.03564
0.00000	-0.03001
0.00000	-0.03146
0.00000	-0.03403
0.00000	-0.03387
0.00000	-0.03806
0.00000	-0.03452
0.00000	-0.03274
0.00000	-0.02920
0.00000	-0.03387
0.00000	-0.03274
0.00000	-0.03564
0.00000	-0.03001
0.00000	-0.03146
0.00000	-0.03661
0.00000	-0.03097
0.00000	-0.03307
0.00000	-0.03194
0.00000	-0.03162
0.00000	-0.03242
0.00000	-0.02856
0.00000	-0.03403
0.00000	-0.02936
0.00000	-0.03323
0.00000	-0.03049
0.00000	-0.02952
0.00000	-0.03242
0.00000	-0.03081
0.00000	-0.02823
0.00000	-0.03113
0.00000	-0.03516
0.00000	-0.02936
0.00000	-0.02904
0.00000	-0.03387
0.00000	-0.03355
0.00000	-0.02872
0.00000	-0.03129
0.00000	-0.03613
0.00000	-0.03162
0.00000	-0.03065
0.00000	-0.03258
0.00000	-0.03081
0.00000	-0.03113
0.00000	-0.03162
0.00000	-0.03258
0.00000	-0.03210
0.00000	-0.03516
0.00000	-0.03323
0.00000	-0.03194
0.00000	-0.03081
0.00000	-0.03226
0.00000	-0.03226
0.00000	-0.03258
0.00000	-0.03242
0.00000	-0.03339
0.00000	-0.02807
0.00000	-0.03258
0.00000	-0.03178
0.00000	-0.03017
0.00000	-0.03178
0.00000	-0.03629
0.00000	-0.03661
0.00000	-0.02936
0.00000	-0.02598
0.00000	-0.03274
0.00000	-0.03548
0.00000	-0.03210
0.00000	-0.03307
0.00000	-0.03516
0.00000	-0.02984
0.00000	-0.03226
0.00000	-0.03129
0.00000	-0.02936
0.00000	-0.03258
0.00000	-0.03291
0.00000	-0.03033
0.00000	-0.03162
0.00000	-0.03146
0.00000	-0.03291
0.00000	-0.03129
0.00000	-0.03403
0.00000	-0.03242
0.00000	-0.03017
0.00000	-0.03419
0.00000	-0.03452
0.00000	-0.03291
0.00000	-0.03307
0.00000	-0.02711
0.00000	-0.02920
0.00000	-0.03129
0.00000	-0.03033
0.00000	-0.03001
0.00000	-0.02904
0.00000	-0.03242
0.00000	-0.03307
0.00000	-0.03258
0.00000	-0.03339
0.00000	-0.03242
0.00000	-0.02936
0.00000	-0.02936
0.00000	-0.02839
0.00000	-0.02904
0.00000	-0.03065
0.00000	-0.03210
0.00000	-0.03146
0.00000	-0.02952
0.00000	-0.02727
0.00000	-0.03258
0.00000	-0.03049
0.00000	-0.03081
0.00000	-0.03564
0.00000	-0.03677
0.00000	-0.03113
0.00000	-0.03097
0.00000	-0.03242
0.00000	-0.03194
0.00000	-0.03242
0.00000	-0.02968
0.00000	-0.02872
0.00000	-0.03097
0.00000	-0.03065
0.00000	-0.02856
0.00000	-0.02549
0.00000	-0.03790
0.00000	-0.03210
0.00000	-0.02872
0.00000	-0.02791
0.00000	-0.03017
0.00000	-0.03532
0.00000	-0.03323
0.00000	-0.02823
0.00000	-0.03387
0.00000	-0.03291
0.00000	-0.03291
0.00000	-0.02920
0.00000	-0.03033
0.00000	-0.03033
0.00000	-0.03226
0.00000	-0.02936
0.00000	-0.03371
0.00000	-0.02968
0.00000	-0.03403
0.00000	-0.03258
0.00000	-0.02984
0.00000	-0.03291
0.00000	-0.03468
0.00000	-0.03146
0.00000	-0.02984
0.00000	-0.03001
0.00000	-0.03017
0.00000	-0.02775
0.00000	-0.03097
0.00000	-0.03017
0.00000	-0.03371
0.00000	-0.03436
0.00000	-0.02936
0.00000	-0.03178
0.00000	-0.02904
0.00000	-0.03049
0.00000	-0.02630
0.00000	-0.03162
0.00000	-0.03323
0.00000	-0.02936
0.00000	-0.03065
0.00000	-0.02856
0.00000	-0.02743
0.00000	-0.03484
0.00000	-0.03387
0.00000	-0.02791
0.00000	-0.03017
0.00000	-0.02888
0.00000	-0.03436
0.01035	-0.03033
0.01035	-0.03307
0.01035	-0.02759
0.01035	-0.03065
0.01035	-0.03017
0.01035	-0.02872
0.01035	-0.02727
0.01035	-0.03339
0.01035	-0.03226
0.01035	-0.03194
0.02070	-0.03258
0.02070	-0.02936
0.02070	-0.02920
0.02070	-0.03017
0.02070	-0.02920
0.02070	-0.03081
0.02070	-0.03065
0.02070	-0.03162
0.02070	-0.03291
0.02070	-0.02904
0.02070	-0.03339
0.02070	-0.03339
0.02070	-0.02968
0.02070	-0.03129
0.02070	-0.02807
0.02070	-0.03194
0.02070	-0.03226
0.02070	-0.03468
0.02070	-0.02872
0.02070	-0.03242
0.02070	-0.03129
0.03104	-0.03532
0.03104	-0.02888
0.04139	-0.02743
0.05174	-0.02904
0.06209	-0.02839
0.08279	-0.03242
0.08279	-0.03162
0.09313	-0.03178
0.10348	-0.03403
0.10348	-0.03548
0.12418	-0.03017
0.15522	-0.02807
0.16557	-0.03049
0.18627	-0.03097
0.19662	-0.03146
0.19662	-0.03307
0.20696	-0.02823
0.21731	-0.03162
0.22766	-0.02952
0.25870	-0.03226
0.28975	-0.03178
0.31045	-0.03113
0.34149	-0.02694
0.39323	-0.02694
0.43462	-0.03403
0.46567	-0.02904
0.49671	-0.03081
0.53811	-0.03146
0.57950	-0.02936
0.62089	-0.02630
0.65194	-0.03146
0.70368	-0.03049
0.75542	-0.02856
0.83820	-0.02904
0.91064	-0.02630
0.96238	-0.03178
1.00378	-0.03162
1.03482	-0.02743
1.06586	-0.03146
1.08656	-0.03339
1.11761	-0.03210
1.14865	-0.02743
