Black Body Radiation Experiment Wed, Sep 23, 2020 12:52 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	0.00511
0.00000	0.00189
0.00000	0.00157
0.00000	0.00608
0.00000	0.00012
0.00000	0.00592
0.00000	0.00125
0.00000	0.00334
0.00000	0.00238
0.00000	0.00318
0.00000	0.00238
0.00000	0.00479
0.00000	0.00076
0.00000	0.00286
0.00000	0.00511
0.00000	0.00399
0.00000	0.00463
0.00000	0.00463
0.00000	0.00060
0.00000	0.00399
0.00000	0.00479
0.00000	0.00221
0.00000	0.00689
0.00000	-0.00085
0.00000	0.00366
0.00000	0.00592
0.00000	0.00415
0.00000	0.00254
0.00000	0.00270
0.00000	0.00366
0.00000	0.00495
0.00000	0.00350
0.00000	0.00189
0.00000	0.00189
0.00000	0.00286
0.00000	0.00608
0.00000	0.00334
0.00000	0.00286
0.00000	0.00254
0.00000	0.00157
0.00000	0.00801
0.00000	0.00576
0.00000	0.00270
0.00000	0.00076
0.00000	0.00672
0.00000	0.00350
0.00000	-0.00181
0.00000	0.00238
0.00000	0.00383
0.00000	0.00318
0.00000	0.00141
0.00000	0.00286
0.00000	0.00221
0.00000	0.00270
0.00000	0.00479
0.00000	0.00028
0.00000	0.00640
0.00000	0.00495
0.00000	0.00415
0.00000	0.00221
0.00000	0.00608
0.00000	0.00463
0.00000	-0.00165
0.00000	0.00141
0.00000	0.00415
0.00000	0.00576
0.00000	0.00254
0.00000	0.00431
0.00000	0.00044
0.00000	0.00366
0.00000	0.00576
0.00000	0.00399
0.00000	0.00366
0.00000	0.00125
0.00000	0.00415
0.00000	0.00560
0.00000	0.00608
0.00000	0.00560
0.00000	0.00173
0.00000	0.00334
0.00000	0.00318
0.00000	0.00334
0.00000	0.00495
0.00000	0.00721
0.00000	0.00737
0.00000	0.00495
0.00000	-0.00052
0.00000	0.00238
0.00000	0.00705
0.00000	0.00334
0.00000	0.00415
0.00000	0.00302
0.00000	0.00592
0.00000	0.00350
0.00000	0.00189
0.00000	0.01011
0.00000	0.00511
0.00000	0.00463
0.00000	0.00302
0.00000	0.00592
0.00000	0.00447
0.00000	0.00737
0.00000	0.00318
0.00000	0.00366
0.00000	0.00608
0.00000	0.00527
0.00000	0.00511
0.00000	0.00141
0.00000	0.00672
0.00000	0.00640
0.00000	0.00383
0.00000	0.00286
0.00000	0.00286
0.00000	0.00189
0.00000	0.00350
0.00000	0.00125
0.00000	0.00189
0.00000	0.00640
0.01035	0.00463
0.01035	-0.00197
0.01035	0.00495
0.01035	0.00511
0.01035	0.00383
0.01035	0.00028
0.01035	0.00141
0.01035	0.00463
0.01035	0.00366
0.01035	0.00157
0.01035	0.00399
0.01035	0.00350
0.01035	0.00801
0.00000	0.00366
0.00000	0.00383
0.00000	0.00576
0.00000	0.00447
0.00000	0.00318
0.00000	0.00302
0.00000	0.00672
0.00000	0.00560
0.00000	0.00576
0.00000	0.00705
0.00000	0.00431
0.00000	0.00737
0.00000	0.00705
0.00000	0.00334
0.00000	0.00286
0.00000	0.00383
0.00000	0.00576
0.00000	0.00399
0.00000	0.00511
0.00000	0.00544
0.00000	0.00350
0.00000	0.00221
0.00000	0.00495
0.00000	0.00608
0.00000	0.00205
0.00000	0.00238
0.00000	0.00334
0.00000	0.00221
0.00000	0.00109
0.00000	0.00318
0.00000	0.00592
0.00000	0.00544
0.00000	0.00093
0.01035	-0.00004
0.01035	0.00608
0.01035	0.00672
0.01035	0.00302
0.01035	0.00270
0.01035	0.00173
0.01035	0.00399
0.01035	0.00544
0.00000	0.00125
0.00000	0.00221
0.00000	0.00463
0.00000	0.00383
0.00000	0.00334
0.00000	0.00527
0.00000	0.00350
0.00000	0.00270
0.00000	0.00527
0.00000	0.00334
0.00000	0.00592
0.00000	0.00366
0.00000	0.00415
0.00000	0.00511
0.00000	0.00817
0.00000	0.00238
0.00000	0.00060
0.00000	0.00576
0.00000	0.00672
0.00000	0.00737
0.00000	0.00431
0.00000	0.00270
0.00000	0.00415
0.00000	0.00254
0.00000	0.00334
0.00000	0.00286
0.00000	0.00366
0.00000	0.00270
0.00000	0.00366
0.00000	0.00221
0.00000	0.00318
0.00000	-0.00101
0.00000	0.00753
0.00000	0.00141
0.00000	0.00093
0.00000	0.00109
0.00000	0.00044
0.00000	0.00495
0.00000	0.00366
0.00000	0.00479
0.01035	0.00640
0.01035	0.00672
0.01035	0.00447
0.01035	0.00254
0.01035	0.00850
0.02070	0.00495
0.03104	0.00624
0.05174	0.00769
0.05174	0.00624
0.06209	0.00463
0.07244	0.00157
0.08279	0.00479
0.11383	0.00527
0.15522	0.00721
0.20696	0.00254
0.26905	0.00689
0.32079	0.00350
0.36219	0.00560
0.42428	0.00383
0.48637	0.00431
0.54845	0.00560
0.60020	0.00672
0.65194	0.00624
0.69333	0.00366
0.75542	0.00608
0.80716	0.00527
0.86925	0.00656
0.93134	0.00302
1.01412	0.00318
1.07621	0.00286
1.12795	0.00624
1.16935	0.00415
1.22109	0.00415
1.29352	0.00141
1.33492	0.00270
1.40735	0.00576
1.47979	0.00431
1.56258	0.00624
1.63501	0.00366
1.71780	0.00125
1.77989	0.00415
1.87302	0.00383
1.95581	0.00173
2.03859	0.00302
2.11103	0.00157
2.17312	-0.00020
2.23521	0.00334
2.30765	0.00640
2.38009	0.00399
2.45252	0.00527
2.53531	0.00415
2.59740	0.00221
2.64914	0.00093
2.70088	0.00318
2.76297	0.00656
2.83541	0.00350
2.89749	0.00189
2.96993	0.00415
3.05272	0.00527
3.14585	0.00366
3.22864	0.00511
3.32177	-0.00197
3.41490	0.00350
3.52873	0.00769
3.63222	0.00447
3.73570	0.00302
3.83918	0.00511
3.94266	0.00463
4.05649	0.00415
4.14963	0.00093
4.24276	0.00544
4.31520	0.00173
4.39798	0.00141
4.49112	0.00286
4.59460	0.00221
4.70843	0.00334
4.83261	0.00270
4.94644	0.00753
5.04992	0.00511
5.15340	0.00221
5.25688	0.00640
5.38106	0.00286
5.49489	0.00318
5.59837	0.00254
5.71220	0.00463
5.83638	0.00511
5.95021	0.00592
6.06404	0.00689
6.15718	0.00189
6.25031	0.00656
6.34344	0.00608
6.44693	0.00753
6.55041	0.00608
6.65389	0.00769
6.76772	0.00672
6.87120	0.00221
6.98503	0.00399
7.08851	0.00560
7.19200	0.00318
7.28513	0.00221
7.37826	0.00366
7.46105	0.00479
7.56453	0.00431
7.65767	0.00608
7.75080	0.00399
7.84393	0.00576
7.92672	0.00689
8.03020	0.00737
8.10264	0.00544
8.18542	0.00914
8.28891	0.00366
8.37169	0.00866
8.46482	0.00834
8.53726	0.00527
8.62005	0.00495
8.70283	0.00431
8.77527	0.00576
8.85806	0.00415
8.93049	0.00834
9.00293	0.00721
9.07537	0.00946
9.14781	0.00882
9.23059	0.00463
9.31338	0.00914
9.40651	0.00898
9.50999	0.00737
9.59278	0.01107
9.69626	0.00705
9.84113	0.00930
9.94462	0.01059
10.01705	0.00817
10.08949	0.00785
10.18262	0.00608
10.27576	0.01043
10.36889	0.00721
10.46203	0.00817
10.55516	0.01124
10.66899	0.00834
10.77247	0.00914
10.87595	0.01011
10.96909	0.01140
11.05187	0.00930
11.13466	0.01236
11.20710	0.00979
11.32093	0.01317
11.41406	0.01317
11.51754	0.01591
11.55894	0.01317
11.65207	0.01381
11.71416	0.01929
11.77625	0.01720
11.85903	0.01913
11.93147	0.02106
11.99356	0.02396
12.08669	0.02364
12.16948	0.02090
12.23157	0.02283
12.28331	0.02364
12.34540	0.02686
12.40749	0.03137
12.49027	0.03153
12.57306	0.03443
12.62480	0.03443
12.69724	0.03685
12.73863	0.04217
12.83176	0.04184
12.92490	0.04362
12.97664	0.04780
13.04908	0.05135
13.15256	0.05973
13.25604	0.06053
13.33882	0.06875
13.41126	0.07632
13.47335	0.08727
13.54579	0.09162
13.60788	0.09919
13.66997	0.10548
13.73206	0.11514
13.80449	0.12690
13.87693	0.13367
13.94937	0.14930
14.01146	0.16154
14.08389	0.16541
14.16668	0.18039
14.21842	0.18506
14.31156	0.20487
14.38399	0.20777
14.46678	0.22356
14.53922	0.23097
14.64270	0.24418
14.73583	0.25675
14.83931	0.26722
14.94280	0.27189
15.02558	0.28140
15.10837	0.28236
15.21185	0.28204
15.28429	0.28140
15.34637	0.28140
15.40846	0.27479
15.46020	0.27415
15.52229	0.26384
15.59473	0.26110
15.66717	0.25417
15.73961	0.24773
15.81204	0.23532
15.87413	0.23355
15.93622	0.22179
15.99831	0.21019
16.05005	0.20359
16.11214	0.19360
16.16388	0.18313
16.22597	0.17346
16.29841	0.16396
16.38119	0.15671
16.44328	0.14849
16.50537	0.13673
16.57781	0.12868
16.66060	0.12062
16.75373	0.11273
16.83652	0.10097
16.90895	0.09162
16.97104	0.08792
17.04348	0.07954
17.11592	0.06907
17.19870	0.06488
17.27114	0.05683
17.35392	0.05248
17.42636	0.04829
17.48845	0.04217
17.55054	0.04056
17.61263	0.03169
17.67472	0.03347
17.74716	0.02799
17.79890	0.02928
17.85064	0.02138
17.90238	0.01881
17.94377	0.01865
18.00586	0.01575
18.05760	0.01865
18.11969	0.01848
18.18178	0.01462
18.24387	0.01720
18.31631	0.01414
18.37840	0.01011
18.44049	0.01365
18.50257	0.00946
18.55432	0.01140
18.61640	0.00995
18.67849	0.00882
18.71989	0.01140
18.78198	0.01204
18.83372	0.00817
18.88546	0.01107
18.94755	0.01301
18.99929	0.01301
19.07173	0.01252
19.12347	0.00769
19.19590	0.00672
19.26834	0.00672
19.34078	0.00576
19.39252	0.00834
19.46496	0.00753
19.51670	0.00882
19.57879	0.01043
19.64088	0.00705
19.70297	0.01124
19.76505	0.00544
19.82714	0.01188
19.88923	0.01124
19.95132	0.01091
19.99271	0.00962
20.03411	0.01252
20.08585	0.00576
20.13759	0.01252
20.18933	0.00914
20.23072	0.01075
20.28246	0.00995
20.32386	0.01172
20.36525	0.00544
20.40664	0.01059
20.45838	0.01301
20.51012	0.00592
20.55152	0.00995
20.59291	0.00930
20.63430	0.00850
20.67570	0.00930
20.73778	0.00898
20.77918	0.00946
20.83092	0.01091
20.87231	0.01107
20.92405	0.01091
20.96545	0.00995
21.02753	0.01011
21.09997	0.01107
21.17241	0.00672
21.23450	0.01156
21.31728	0.01252
21.38972	0.01204
21.48286	0.00898
21.54494	0.00817
21.61738	0.00866
21.66912	0.00689
21.72086	0.01349
21.77260	0.00817
21.82435	0.01462
21.88643	0.01381
21.94852	0.00817
22.00026	0.00705
22.04166	0.01333
22.09340	0.00527
22.13479	0.00898
22.18653	0.01011
22.23827	0.00801
22.29001	0.01349
22.34176	0.01397
22.38315	0.00979
22.43489	0.01236
22.48663	0.01285
22.52802	0.00801
22.57976	0.00769
22.64185	0.01172
22.68325	0.01494
22.74534	0.00399
22.79708	0.01027
22.84882	0.01043
22.90056	0.01204
22.95230	0.00930
23.01439	0.00930
23.05578	0.00898
23.09717	0.01285
23.14891	0.00962
23.19031	0.01301
23.24205	0.01075
23.29379	0.01510
23.33518	0.01188
23.38692	0.01349
23.43866	0.01059
23.49041	0.00834
23.54215	0.01365
23.60424	0.01188
23.65598	0.01220
23.70772	0.01140
23.75946	0.01381
23.80085	0.01075
23.85259	0.01091
23.91468	0.01397
23.96642	0.01381
24.01816	0.01011
24.06990	0.01301
24.12165	0.00785
24.16304	0.00866
24.20443	0.01333
24.24582	0.00962
24.28722	0.00914
24.33896	0.01414
24.39070	0.01140
24.44244	0.01124
24.49418	0.01381
24.54592	0.01349
24.61836	0.01510
24.69080	0.01414
24.77358	0.01011
24.85637	0.01140
24.94950	0.01365
25.04263	0.00995
25.12542	0.01075
25.20821	0.01059
25.28064	0.00753
25.36343	0.01526
25.42552	0.01269
25.48761	0.01317
25.54970	0.01011
25.60144	0.01140
25.65318	0.01591
25.70492	0.01220
25.75666	0.01671
25.80840	0.01172
25.87049	0.01091
25.92223	0.01333
25.96362	0.01236
26.01537	0.01510
26.05676	0.00995
26.08780	0.01285
26.12920	0.01252
26.17059	0.01559
26.22233	0.01285
26.27407	0.01414
26.32581	0.01172
26.37755	0.01397
26.42929	0.00817
26.48103	0.01188
26.53277	0.01526
26.59486	0.01510
26.64660	0.01236
26.69835	0.01446
26.75009	0.01140
26.80183	0.01494
26.86392	0.01269
26.91566	0.01559
26.96740	0.01043
27.02949	0.01462
27.08123	0.01011
27.13297	0.01414
27.17436	0.01591
27.21576	0.01252
27.25715	0.01462
27.30889	0.01381
27.36063	0.01494
27.41237	0.01720
27.47446	0.01381
27.52620	0.01156
27.57794	0.01349
27.61934	0.00930
27.67108	0.01559
27.71247	0.01204
27.76421	0.01446
27.80560	0.01252
27.85734	0.01446
27.89874	0.01478
27.94013	0.01591
27.99187	0.01446
28.04361	0.01526
28.08500	0.00930
28.12640	0.01510
28.16779	0.01462
28.21953	0.01365
28.26092	0.01687
28.31266	0.01414
28.35406	0.01349
28.40580	0.01800
28.44719	0.01172
28.48858	0.01188
28.52998	0.01075
28.58172	0.01494
28.63346	0.01156
28.67485	0.01784
28.72659	0.01510
28.76799	0.01317
28.80938	0.01188
28.86112	0.01478
28.90251	0.01140
28.95425	0.01462
28.99565	0.01188
29.03704	0.01478
29.07843	0.01156
29.11982	0.01236
29.16122	0.01220
29.20261	0.01124
29.24400	0.01059
29.28539	0.00995
29.33714	0.01414
29.37853	0.01478
29.41992	0.01204
29.46131	0.01430
29.50271	0.01414
29.54410	0.01365
29.57514	0.01285
29.61654	0.01703
29.64758	0.00914
29.68897	0.01575
29.73037	0.00801
29.77176	0.01575
29.82350	0.01720
29.87524	0.01301
29.93733	0.01252
29.98907	0.01687
30.04081	0.01575
